gene,control_rep3,exp_rep3,control_rep1,exp_rep2,control_rep2,exp_rep1
ENSG00000097021.21,8531,9527,6611,6483,6024,6859
ENSG00000271746.1,1,2,4,7,2,0
ENSG00000069812.11,512,515,445,626,353,550
ENSG00000187017.18,916,1000,796,1044,679,1139
ENSG00000265392.1,0,0,0,0,0,0
ENSG00000231868.1,0,0,1,1,0,0
ENSG00000215788.11,268,217,235,268,160,216
ENSG00000171680.23,2156,1919,1751,1809,1585,1697
ENSG00000162408.11,2026,1515,1954,1899,1662,1670
ENSG00000253022.1,0,0,0,0,1,0
ENSG00000229519.2,1,0,1,0,1,2
ENSG00000173662.21,6,2,2,2,1,2
ENSG00000204859.13,1052,926,795,756,684,776
ENSG00000162413.17,3810,3743,3118,3067,2816,3165
ENSG00000116273.6,3903,3494,3248,3288,2740,3086
ENSG00000041988.16,1246,1151,905,1178,805,1002
ENSG00000007923.17,5964,4752,4757,4951,4216,5025
ENSG00000228750.7,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0
ENSG00000237436.1,17,11,8,11,18,7
ENSG00000171735.21,4284,3923,3460,3902,2884,3827
ENSG00000227950.1,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0
ENSG00000237402.1,0,0,2,0,0,1
ENSG00000237728.2,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0
ENSG00000270171.1,6,1,4,2,6,2
ENSG00000270035.1,5,4,9,6,5,7
ENSG00000269978.1,9,8,7,9,10,11
ENSG00000049245.13,12869,11045,10385,11135,9521,12421
ENSG00000269925.1,37,27,26,36,22,32
ENSG00000049246.15,258,164,215,190,163,149
ENSG00000236266.1,3,0,3,2,0,4
ENSG00000049247.14,5,1,1,0,1,2
ENSG00000049249.10,3000,2274,2675,2732,2245,3055
ENSG00000270330.1,1,0,0,0,0,0
ENSG00000116288.13,19670,18374,15811,17006,14268,16934
ENSG00000200344.1,3,2,4,3,1,7
ENSG00000284747.1,19,11,16,22,7,12
ENSG00000284716.1,2,0,3,3,0,0
ENSG00000116285.13,14361,11779,12761,17506,9986,17203
ENSG00000238290.1,4,4,7,1,0,5
ENSG00000232848.1,0,3,0,2,0,0
ENSG00000229305.1,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0
ENSG00000227634.3,1,1,0,0,2,0
ENSG00000200975.1,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0
ENSG00000162426.16,93,95,80,48,67,40
ENSG00000252254.1,0,0,0,0,0,0
ENSG00000142599.20,9533,8026,7748,7598,6612,7538
ENSG00000232912.6,3,0,1,1,0,5
ENSG00000221083.1,0,0,0,0,0,0
ENSG00000270282.1,0,0,1,0,1,1
ENSG00000234619.1,0,2,2,0,0,3
ENSG00000224315.2,2,2,1,0,0,0
ENSG00000222511.2,0,0,0,0,0,0
ENSG00000226545.1,0,0,0,0,0,1
ENSG00000228423.2,2,0,0,0,0,2
ENSG00000229716.2,0,0,0,0,0,0
ENSG00000074800.16,235261,229020,183187,176889,172263,180244
ENSG00000274258.1,2,0,1,0,0,0
ENSG00000230679.1,3,7,5,3,3,3
ENSG00000201725.1,0,0,0,0,0,0
ENSG00000238249.2,5,13,3,5,4,5
ENSG00000232208.2,0,1,0,1,0,1
ENSG00000232663.2,0,0,0,0,0,0
ENSG00000131686.15,0,0,0,0,0,0
ENSG00000290109.1,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0
ENSG00000197241.4,3,5,5,6,3,3
ENSG00000142583.18,15,11,18,13,11,7
ENSG00000252404.1,0,0,0,0,0,0
ENSG00000180758.12,503,418,463,445,403,487
ENSG00000228526.8,260,233,235,356,146,325
ENSG00000284357.1,0,0,0,0,0,0
ENSG00000289914.1,1,0,0,0,0,0
ENSG00000234546.5,113,161,118,146,99,186
ENSG00000049239.13,6682,5297,5713,6435,4692,6158
ENSG00000171621.14,1033,1029,1026,954,822,912
ENSG00000284652.1,7,5,4,4,1,3
ENSG00000284693.2,29,19,8,11,13,11
ENSG00000252956.1,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0
ENSG00000171612.7,2885,2459,2312,2521,1991,2601
ENSG00000231181.1,21,28,32,45,18,34
ENSG00000188807.13,2720,2904,2139,1950,2005,2120
ENSG00000171608.18,1407,1330,1196,1068,1028,1111
ENSG00000179840.5,0,0,0,0,0,0
ENSG00000233268.3,0,0,0,0,0,0
ENSG00000231789.4,183,181,139,79,133,101
ENSG00000171603.18,22996,20924,18636,20432,16671,20562
ENSG00000271264.1,1,0,0,1,3,1
ENSG00000280113.2,0,2,0,0,0,0
ENSG00000178585.15,11202,11499,8808,13117,8178,13801
ENSG00000223989.1,0,0,0,0,0,0
ENSG00000285701.1,2,0,2,3,2,5
ENSG00000162441.12,6290,5225,5334,6186,4596,6811
ENSG00000228150.1,22,24,23,23,6,12
ENSG00000173614.14,1608,1348,1303,1493,1164,1501
ENSG00000202415.1,2,2,2,1,2,2
ENSG00000283611.2,1,0,1,1,0,2
ENSG00000265521.1,0,1,0,1,0,0
ENSG00000241326.1,0,0,0,0,0,0
ENSG00000162444.12,44,32,37,37,30,27
ENSG00000130939.20,12429,9818,10711,11057,9261,11240
